2009-2010 Award Year FFEL Volume by School,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
"Award Year Cumulative Activity through Quarter ending 09/30/2009

",,,,,,,,,,,,,,,,,,,,,,,,
Data Run: 4/5/2012,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FFEL SUBSIDIZED,,,,,FFEL UNSUBSIDIZED,,,,,FFEL PARENT PLUS,,,,,FFEL GRAD PLUS,,,,
OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00203900,COLBY COLLEGE,ME,049018840,PRIVATE,88,89,363929,91,183482,86,86,333828,87,168619,24,24,713015,24,363144,0,0,0,0,0
00204000,UNIVERSITY OF MAINE - FARMINGTON,ME,049381990,PUBLIC,1148,1156,5692221,1158,2471957,1125,1193,4199857,1197,2119249,75,76,693016,76,358942,0,0,0,0,0
00204100,UNIVERSITY OF MAINE - FORT KENT,ME,047431292,PUBLIC,160,161,653720,167,335213,151,159,665700,164,342704,9,9,85724,9,42341,0,0,0,0,0
00204300,HUSSON UNIVERSITY,ME,044012999,PRIVATE,1570,1580,7505512,1615,3787946,1643,1776,7550920,1817,3827261,164,170,1439915,176,738981,16,18,97057,18,40843
00204400,MAINE MARITIME ACADEMY,ME,044200001,PUBLIC,540,541,2406173,558,1227406,598,629,2289866,648,1162859,129,138,1972591,141,991657,5,6,53424,6,27214
00205000,UNIVERSITY OF NEW ENGLAND,ME,040059599,PRIVATE,409,411,2592546,413,1307768,461,479,6871465,479,3504140,137,140,2068372,142,1166268,185,206,2404562,209,2161881
00205100,SAINT JOSEPH'S COLLEGE,ME,040845263,PRIVATE,649,650,2901185,671,1486118,731,764,2332401,789,1209569,125,125,1734933,128,868746,0,0,0,0,0
00205300,UNIVERSITY OF MAINE,ME,044690001,PUBLIC,4078,4112,19333882,4245,9996361,4070,4291,16360945,4422,8454750,356,363,3581334,367,1942486,4,4,40788,4,21365
00205400,UNIVERSITY OF SOUTHERN MAINE,ME,041044864,PUBLIC,3308,3488,16603154,3613,8226095,3120,3393,16812078,3514,8810901,223,228,2762566,241,1423296,161,166,2293161,175,1163885
00205500,UNIVERSITY OF MAINE - MACHIAS,ME,046541397,PUBLIC,190,190,830187,190,417222,165,167,644249,167,324856,0,0,0,0,0,0,0,0,0,0
00520400,BEAL COLLEGE,ME,044016896,PROPRIETARY,103,103,214208,172,100794,99,108,211743,179,97350,2,2,2000,2,670,0,0,0,0,0
00527600,CENTRAL MAINE COMMUNITY COLLEGE,ME,042106498,PUBLIC,700,701,2381966,701,1206182,636,650,2069697,653,1025501,27,27,233440,27,112505,0,0,0,0,0
00527700,EASTERN MAINE COMMUNITY COLLEGE,ME,044014280,PUBLIC,45,45,149472,45,74958,40,40,122233,40,55392,4,4,25964,4,11232,0,0,0,0,0
00576000,NORTHERN MAINE COMMUNITY COLLEGE,ME,047692016,PUBLIC,362,362,1232397,365,609827,286,286,1008715,289,468583,10,10,57214,10,30257,0,0,0,0,0
